0,1,2
2022-12-08,07:05:43.866000,96
2022-12-08,07:05:44.773000,96
2022-12-08,07:05:45.780000,96
2022-12-08,07:05:46.787000,96
2022-12-08,07:05:47.692000,96
2022-12-08,07:05:48.798000,96
2022-12-08,07:05:49.806000,96
2022-12-08,07:05:50.813000,96
2022-12-08,07:05:51.819000,96
2022-12-08,07:05:52.725000,97
2022-12-08,07:05:53.732000,97
2022-12-08,07:05:54.739000,96
2022-12-08,07:05:55.746000,96
2022-12-08,07:05:56.753000,96
2022-12-08,07:05:57.760000,96
2022-12-08,07:05:58.665000,96
2022-12-08,07:05:59.772000,96
2022-12-08,07:06:00.778000,96
2022-12-08,07:06:01.685000,96
2022-12-08,07:06:02.692000,96
2022-12-08,07:06:03.699000,96
2022-12-08,07:06:04.705000,96
2022-12-08,07:06:05.712000,96
2022-12-08,07:06:06.718000,96
2022-12-08,07:06:07.725000,95
2022-12-08,07:06:08.732000,95
2022-12-08,07:06:09.739000,95
2022-12-08,07:06:11.146000,95
2022-12-08,07:06:12.150000,95
2022-12-08,07:06:13.157000,95
2022-12-08,07:06:14.566000,95
2022-12-08,07:06:16.076000,95
2022-12-08,07:06:16.076000,96
2022-12-08,07:06:18.088000,96
2022-12-08,07:06:18.088000,96
2022-12-08,07:06:19.095000,96
2022-12-08,07:06:20,96
2022-12-08,07:06:21.007000,96
2022-12-08,07:06:22.517000,95
2022-12-08,07:06:23.021000,95
2022-12-08,07:06:24.027000,95
2022-12-08,07:06:25.034000,95
2022-12-08,07:06:26.038000,96
2022-12-08,07:06:26.943000,96
2022-12-08,07:06:27.948000,96
2022-12-08,07:06:28.955000,96
2022-12-08,07:06:29.960000,96
2022-12-08,07:06:31.470000,96
2022-12-08,07:06:31.972000,96
2022-12-08,07:06:32.877000,96
2022-12-08,07:06:33.883000,95
2022-12-08,07:06:34.890000,95
2022-12-08,07:06:35.897000,95
2022-12-08,07:06:37.406000,94
2022-12-08,07:06:37.910000,94
2022-12-08,07:06:38.816000,94
2022-12-08,07:06:39.820000,94
2022-12-08,07:06:40.825000,94
2022-12-08,07:06:41.833000,94
2022-12-08,07:06:42.837000,94
2022-12-08,07:06:43.843000,94
2022-12-08,07:06:44.848000,93
2022-12-08,07:06:45.755000,94
2022-12-08,07:06:46.762000,93
2022-12-08,07:06:48.272000,94
2022-12-08,07:06:48.774000,94
2022-12-08,07:06:49.781000,94
2022-12-08,07:06:50.789000,94
2022-12-08,07:06:51.694000,94
2022-12-08,07:06:52.700000,94
2022-12-08,07:06:53.706000,94
2022-12-08,07:06:54.712000,94
2022-12-08,07:06:56.222000,94
2022-12-08,07:06:58.133000,94
2022-12-08,07:06:58.635000,94
2022-12-08,07:06:59.138000,94
2022-12-08,07:07:00.144000,95
2022-12-08,07:07:01.651000,95
2022-12-08,07:07:02.154000,95
