0,1,2
2022-12-27,10:33:15.035000,5
2022-12-27,10:33:16.041000,5
2022-12-27,10:33:17.062000,5
2022-12-27,10:33:18.068000,5
2022-12-27,10:33:19.095000,5
2022-12-27,10:33:20.119000,5
2022-12-27,10:33:21.136000,5
2022-12-27,10:33:22.138000,5
2022-12-27,10:33:23.196000,5
2022-12-27,10:33:24.207000,5
2022-12-27,10:33:25.205000,5
2022-12-27,10:33:26.258000,5
2022-12-27,10:33:27.240000,5
2022-12-27,10:33:28.253000,5
2022-12-27,10:33:29.300000,5
2022-12-27,10:33:30.315000,5
2022-12-27,10:33:31.333000,5
2022-12-27,10:33:32.369000,5
2022-12-27,10:33:33.395000,5
2022-12-27,10:33:34.428000,5
2022-12-27,10:33:35.459000,5
2022-12-27,10:33:36.455000,5
2022-12-27,10:33:37.477000,5
2022-12-27,10:33:38.487000,5
2022-12-27,10:33:39.537000,5
2022-12-27,10:33:40.541000,5
2022-12-27,10:33:41.562000,5
2022-12-27,10:33:42.615000,5
2022-12-27,10:33:43.627000,5
2022-12-27,10:33:44.644000,5
2022-12-27,10:33:45.656000,5
2022-12-27,10:33:46.675000,5
2022-12-27,10:33:47.714000,5
2022-12-27,10:33:48.721000,5
2022-12-27,10:33:49.729000,5
2022-12-27,10:33:50.770000,5
2022-12-27,10:33:51.792000,5
2022-12-27,10:33:52.800000,5
2022-12-27,10:33:53.822000,5
2022-12-27,10:33:54.831000,5
2022-12-27,10:33:55.885000,5
2022-12-27,10:33:56.883000,5
2022-12-27,10:33:57.892000,5
2022-12-27,10:33:58.925000,5
2022-12-27,10:33:59.958000,5
2022-12-27,10:34:00.978000,5
2022-12-27,10:34:02.011000,5
2022-12-27,10:34:03.031000,5
2022-12-27,10:34:04.062000,5
2022-12-27,10:34:05.066000,5
2022-12-27,10:34:06.074000,5
2022-12-27,10:34:07.103000,5
2022-12-27,10:34:08.108000,5
2022-12-27,10:34:09.131000,5
2022-12-27,10:34:10.159000,5
2022-12-27,10:34:11.162000,5
2022-12-27,10:34:12.179000,5
2022-12-27,10:34:13.199000,5
2022-12-27,10:34:14.198000,5
2022-12-27,10:34:15.217000,5
2022-12-27,10:34:16.233000,5
2022-12-27,10:34:17.227000,5
2022-12-27,10:34:18.255000,5
2022-12-27,10:34:19.250000,5
2022-12-27,10:34:20.266000,5
2022-12-27,10:34:21.266000,5
2022-12-27,10:34:22.296000,5
2022-12-27,10:34:23.323000,5
2022-12-27,10:34:24.342000,5
2022-12-27,10:34:25.367000,5
2022-12-27,10:34:26.357000,5
2022-12-27,10:34:27.384000,5
2022-12-27,10:34:28.398000,5
2022-12-27,10:34:29.404000,5
2022-12-27,10:34:30.441000,5
2022-12-27,10:34:31.469000,5
2022-12-27,10:34:32.506000,5
2022-12-27,10:34:33.491000,5
2022-12-27,10:34:34.507000,5
2022-12-27,10:34:35.545000,5
2022-12-27,10:34:36.570000,5
2022-12-27,10:34:37.588000,5
2022-12-27,10:34:38.612000,5
2022-12-27,10:34:39.661000,5
2022-12-27,10:34:40.669000,5
2022-12-27,10:34:41.731000,5
2022-12-27,10:34:42.736000,5
2022-12-27,10:34:43.742000,5
2022-12-27,10:34:44.797000,5
2022-12-27,10:34:45.778000,5
2022-12-27,10:34:46.827000,5
2022-12-27,10:34:47.812000,5
2022-12-27,10:34:48.846000,5
2022-12-27,10:34:49.885000,5
2022-12-27,10:34:50.881000,5
2022-12-27,10:34:51.905000,5
2022-12-27,10:34:52.908000,5
2022-12-27,10:34:53.919000,5
2022-12-27,10:34:54.953000,5
2022-12-27,10:34:56.010000,5
2022-12-27,10:34:57.040000,5
2022-12-27,10:34:58.034000,5
2022-12-27,10:34:59.057000,5
2022-12-27,10:35:00.067000,5
2022-12-27,10:35:01.093000,5
2022-12-27,10:35:02.094000,5
2022-12-27,10:35:03.133000,5
2022-12-27,10:35:04.164000,5
2022-12-27,10:35:05.192000,5
2022-12-27,10:35:06.203000,5
2022-12-27,10:35:07.217000,5
2022-12-27,10:35:08.240000,5
