0,1,2
2022-12-08,07:33:14.624000,0
2022-12-08,07:33:15.643000,0
2022-12-08,07:33:16.672000,45
2022-12-08,07:33:17.659000,45
2022-12-08,07:33:18.677000,45
2022-12-08,07:33:19.714000,45
2022-12-08,07:33:20.711000,45
2022-12-08,07:33:21.749000,45
2022-12-08,07:33:22.761000,45
2022-12-08,07:33:23.792000,45
2022-12-08,07:33:24.800000,45
2022-12-08,07:33:25.821000,45
2022-12-08,07:33:26.832000,45
2022-12-08,07:33:27.834000,45
2022-12-08,07:33:28.863000,45
2022-12-08,07:33:29.895000,45
2022-12-08,07:33:30.906000,45
2022-12-08,07:33:31.937000,45
2022-12-08,07:33:32.941000,45
2022-12-08,07:33:33.957000,45
2022-12-08,07:33:34.979000,45
2022-12-08,07:33:36.015000,45
2022-12-08,07:33:37.033000,45
2022-12-08,07:33:38.066000,45
2022-12-08,07:33:39.056000,45
2022-12-08,07:33:40.103000,45
2022-12-08,07:33:41.105000,45
2022-12-08,07:33:42.121000,45
2022-12-08,07:33:43.166000,45
2022-12-08,07:33:44.140000,45
2022-12-08,07:33:45.175000,45
2022-12-08,07:33:46.177000,45
2022-12-08,07:33:47.158000,45
2022-12-08,07:33:48.203000,45
2022-12-08,07:33:49.229000,45
2022-12-08,07:33:50.238000,45
2022-12-08,07:33:51.235000,45
2022-12-08,07:33:52.268000,45
2022-12-08,07:33:53.261000,45
2022-12-08,07:33:54.297000,45
2022-12-08,07:33:55.331000,45
2022-12-08,07:33:56.367000,45
2022-12-08,07:33:57.385000,45
2022-12-08,07:33:58.428000,45
2022-12-08,07:33:59.474000,45
2022-12-08,07:34:00.487000,45
2022-12-08,07:34:01.507000,45
2022-12-08,07:34:02.547000,45
2022-12-08,07:34:03.558000,45
2022-12-08,07:34:04.594000,45
2022-12-08,07:34:05.643000,45
2022-12-08,07:34:06.644000,45
2022-12-08,07:34:07.680000,45
2022-12-08,07:34:08.716000,45
2022-12-08,07:34:09.736000,45
2022-12-08,07:34:10.770000,45
2022-12-08,07:34:11.779000,45
2022-12-08,07:34:12.804000,45
2022-12-08,07:34:13.846000,45
2022-12-08,07:34:14.851000,45
2022-12-08,07:34:15.869000,45
2022-12-08,07:34:16.871000,45
2022-12-08,07:34:17.895000,45
2022-12-08,07:34:18.897000,45
2022-12-08,07:34:19.945000,45
2022-12-08,07:34:20.952000,45
2022-12-08,07:34:21.982000,45
2022-12-08,07:34:23.031000,45
2022-12-08,07:34:24.038000,45
2022-12-08,07:34:25.056000,45
2022-12-08,07:34:26.092000,45
2022-12-08,07:34:27.112000,45
2022-12-08,07:34:28.124000,45
2022-12-08,07:34:29.127000,45
2022-12-08,07:34:30.155000,45
2022-12-08,07:34:31.170000,45
2022-12-08,07:34:32.180000,45
2022-12-08,07:34:33.191000,45
2022-12-08,07:34:34.237000,45
2022-12-08,07:34:35.225000,45
2022-12-08,07:34:36.266000,45
2022-12-08,07:34:37.282000,45
2022-12-08,07:34:38.303000,45
2022-12-08,07:34:39.310000,45
2022-12-08,07:34:40.348000,45
2022-12-08,07:34:41.376000,45
2022-12-08,07:34:42.393000,45
2022-12-08,07:34:43.424000,45
2022-12-08,07:34:44.430000,45
2022-12-08,07:34:45.452000,45
2022-12-08,07:34:46.478000,45
2022-12-08,07:34:47.475000,45
2022-12-08,07:34:48.504000,45
2022-12-08,07:34:49.520000,45
2022-12-08,07:34:50.515000,45
2022-12-08,07:34:51.548000,45
2022-12-08,07:34:52.554000,45
2022-12-08,07:34:53.587000,45
2022-12-08,07:34:54.613000,45
2022-12-08,07:34:55.628000,45
2022-12-08,07:34:56.666000,45
2022-12-08,07:34:57.696000,45
2022-12-08,07:34:58.702000,45
2022-12-08,07:34:59.722000,45
2022-12-08,07:35:00.725000,45
2022-12-08,07:35:01.736000,45
2022-12-08,07:35:02.737000,45
2022-12-08,07:35:03.768000,45
2022-12-08,07:35:04.763000,45
2022-12-08,07:35:05.771000,45
2022-12-08,07:35:06.797000,45
2022-12-08,07:35:07.794000,45
2022-12-08,07:35:08.800000,45
2022-12-08,07:35:09.801000,45
2022-12-08,07:35:10.803000,45
2022-12-08,07:35:11.830000,45
2022-12-08,07:35:12.831000,45
2022-12-08,07:35:13.826000,45
2022-12-08,07:35:14.858000,45
2022-12-08,07:35:15.895000,45
2022-12-08,07:35:16.923000,45
2022-12-08,07:35:17.928000,45
2022-12-08,07:35:18.945000,45
2022-12-08,07:35:19.961000,45
2022-12-08,07:35:20.970000,45
2022-12-08,07:35:21.995000,45
2022-12-08,07:35:23.019000,45
2022-12-08,07:35:24.052000,45
2022-12-08,07:35:25.091000,45
2022-12-08,07:35:26.123000,45
2022-12-08,07:35:27.124000,45
2022-12-08,07:35:28.156000,45
2022-12-08,07:35:29.168000,45
2022-12-08,07:35:30.180000,45
2022-12-08,07:35:31.205000,45
2022-12-08,07:35:32.220000,45
2022-12-08,07:35:33.255000,45
2022-12-08,07:35:34.246000,45
2022-12-08,07:35:35.239000,45
2022-12-08,07:35:36.277000,45
2022-12-08,07:35:37.308000,45
2022-12-08,07:35:38.336000,45
2022-12-08,07:35:39.373000,45
2022-12-08,07:35:40.374000,45
2022-12-08,07:35:41.401000,45
2022-12-08,07:35:42.433000,45
2022-12-08,07:35:43.466000,45
2022-12-08,07:35:44.504000,45
2022-12-08,07:35:45.532000,45
2022-12-08,07:35:46.534000,45
2022-12-08,07:35:47.566000,45
2022-12-08,07:35:48.597000,45
2022-12-08,07:35:49.650000,45
2022-12-08,07:35:50.657000,45
2022-12-08,07:35:51.684000,45
2022-12-08,07:35:52.724000,45
2022-12-08,07:35:53.733000,45
2022-12-08,07:35:54.761000,45
2022-12-08,07:35:55.795000,45
2022-12-08,07:35:56.805000,45
2022-12-08,07:35:57.832000,45
2022-12-08,07:35:58.856000,45
2022-12-08,07:35:59.853000,45
2022-12-08,07:36:00.871000,45
2022-12-08,07:36:01.908000,45
2022-12-08,07:36:02.931000,45
2022-12-08,07:36:03.937000,45
2022-12-08,07:36:04.967000,45
2022-12-08,07:36:06.022000,45
2022-12-08,07:36:07.006000,45
2022-12-08,07:36:08.036000,45
2022-12-08,07:36:09.063000,45
2022-12-08,07:36:10.072000,45
2022-12-08,07:36:11.088000,45
2022-12-08,07:36:12.112000,45
2022-12-08,07:36:13.136000,45
2022-12-08,07:36:14.161000,45
2022-12-08,07:36:15.161000,45
2022-12-08,07:36:16.173000,45
2022-12-08,07:36:17.191000,45
2022-12-08,07:36:18.198000,45
2022-12-08,07:36:19.233000,45
2022-12-08,07:36:20.248000,45
2022-12-08,07:36:21.273000,45
2022-12-08,07:36:22.293000,45
2022-12-08,07:36:23.294000,45
2022-12-08,07:36:24.314000,45
2022-12-08,07:36:25.315000,45
2022-12-08,07:36:26.332000,45
2022-12-08,07:36:27.343000,45
2022-12-08,07:36:28.353000,45
2022-12-08,07:36:29.378000,45
2022-12-08,07:36:30.412000,45
2022-12-08,07:36:31.419000,45
2022-12-08,07:36:32.435000,45
2022-12-08,07:36:33.456000,45
2022-12-08,07:36:34.496000,45
2022-12-08,07:36:35.511000,45
2022-12-08,07:36:36.529000,45
2022-12-08,07:36:37.530000,45
2022-12-08,07:36:38.552000,45
2022-12-08,07:36:39.570000,45
2022-12-08,07:36:40.625000,45
2022-12-08,07:36:41.619000,45
2022-12-08,07:36:42.649000,45
2022-12-08,07:36:43.672000,45
2022-12-08,07:36:44.684000,45
2022-12-08,07:36:45.712000,45
2022-12-08,07:36:46.706000,45
2022-12-08,07:36:47.718000,45
2022-12-08,07:36:48.731000,45
2022-12-08,07:36:49.747000,45
2022-12-08,07:36:50.773000,45
2022-12-08,07:36:51.802000,45
2022-12-08,07:36:52.785000,45
2022-12-08,07:36:53.803000,45
2022-12-08,07:36:54.818000,45
2022-12-08,07:36:55.833000,45
2022-12-08,07:36:56.825000,45
2022-12-08,07:36:57.856000,45
2022-12-08,07:36:58.858000,45
2022-12-08,07:36:59.894000,45
2022-12-08,07:37:00.897000,45
2022-12-08,07:37:01.894000,45
2022-12-08,07:37:02.928000,45
2022-12-08,07:37:03.970000,45
2022-12-08,07:37:04.977000,45
2022-12-08,07:37:05.982000,45
2022-12-08,07:37:07.001000,45
2022-12-08,07:37:08.037000,45
2022-12-08,07:37:09.017000,45
2022-12-08,07:37:10.021000,45
2022-12-08,07:37:11.046000,45
2022-12-08,07:37:12.078000,45
2022-12-08,07:37:13.072000,45
2022-12-08,07:37:14.084000,45
2022-12-08,07:37:15.084000,55
2022-12-08,07:37:16.099000,55
2022-12-08,07:37:17.144000,55
2022-12-08,07:37:18.135000,55
2022-12-08,07:37:19.125000,55
2022-12-08,07:37:20.140000,55
2022-12-08,07:37:21.141000,55
2022-12-08,07:37:22.168000,55
2022-12-08,07:37:23.170000,55
2022-12-08,07:37:24.179000,55
2022-12-08,07:37:25.198000,55
2022-12-08,07:37:26.222000,55
