0,1,2
2022-12-08,11:02:46.803000,73
2022-12-08,11:02:47.807000,73
2022-12-08,11:02:48.812000,74
2022-12-08,11:02:49.819000,74
2022-12-08,11:02:50.825000,74
2022-12-08,11:02:51.832000,74
2022-12-08,11:02:52.838000,74
2022-12-08,11:02:53.845000,74
2022-12-08,11:02:54.850000,74
2022-12-08,11:02:55.757000,74
2022-12-08,11:02:56.863000,74
2022-12-08,11:02:57.870000,74
2022-12-08,11:02:58.773000,74
2022-12-08,11:02:59.779000,74
2022-12-08,11:03:00.886000,74
2022-12-08,11:03:01.792000,74
2022-12-08,11:03:02.797000,74
2022-12-08,11:03:03.802000,74
2022-12-08,11:03:04.809000,74
2022-12-08,11:03:05.816000,74
2022-12-08,11:03:06.821000,74
2022-12-08,11:03:07.831000,74
2022-12-08,11:03:08.837000,75
2022-12-08,11:03:09.844000,75
2022-12-08,11:03:10.852000,75
2022-12-08,11:03:11.858000,75
2022-12-08,11:03:12.865000,75
2022-12-08,11:03:14.174000,75
2022-12-08,11:03:15.180000,75
2022-12-08,11:03:16.186000,75
2022-12-08,11:03:17.193000,76
2022-12-08,11:03:18.099000,76
2022-12-08,11:03:19.105000,76
2022-12-08,11:03:20.112000,76
2022-12-08,11:03:21.119000,76
2022-12-08,11:03:22.126000,76
2022-12-08,11:03:23.132000,76
2022-12-08,11:03:24.037000,76
2022-12-08,11:03:25.044000,76
2022-12-08,11:03:26.050000,76
2022-12-08,11:03:27.055000,76
2022-12-08,11:03:28.062000,76
2022-12-08,11:03:29.067000,76
2022-12-08,11:03:29.974000,76
2022-12-08,11:03:30.979000,76
2022-12-08,11:03:31.987000,76
2022-12-08,11:03:32.992000,75
2022-12-08,11:03:34,75
2022-12-08,11:03:35.006000,76
2022-12-08,11:03:36.013000,76
2022-12-08,11:03:36.918000,76
2022-12-08,11:03:37.925000,76
2022-12-08,11:03:38.932000,76
2022-12-08,11:03:39.939000,76
2022-12-08,11:03:40.946000,75
2022-12-08,11:03:41.953000,75
2022-12-08,11:03:42.859000,75
2022-12-08,11:03:43.865000,75
2022-12-08,11:03:44.872000,75
2022-12-08,11:03:45.878000,75
2022-12-08,11:03:46.885000,75
2022-12-08,11:03:47.891000,74
2022-12-08,11:03:48.797000,74
2022-12-08,11:03:49.804000,74
2022-12-08,11:03:50.811000,74
2022-12-08,11:03:51.817000,74
2022-12-08,11:03:53.326000,74
2022-12-08,11:03:54.232000,73
2022-12-08,11:03:55.237000,73
2022-12-08,11:03:56.244000,73
2022-12-08,11:03:57.251000,73
2022-12-08,11:03:58.257000,73
2022-12-08,11:03:59.264000,73
2022-12-08,11:04:00.269000,73
2022-12-08,11:04:01.175000,73
2022-12-08,11:04:02.181000,73
2022-12-08,11:04:03.189000,73
2022-12-08,11:04:04.194000,73
2022-12-08,11:04:05.201000,73
2022-12-08,11:04:06.208000,73
2022-12-08,11:04:07.114000,72
2022-12-08,11:04:08.121000,73
2022-12-08,11:04:09.128000,73
2022-12-08,11:04:10.135000,72
2022-12-08,11:04:11.140000,72
2022-12-08,11:04:12.148000,72
2022-12-08,11:04:13.053000,72
2022-12-08,11:04:14.058000,72
2022-12-08,11:04:15.065000,72
2022-12-08,11:04:16.072000,72
2022-12-08,11:04:17.078000,73
2022-12-08,11:04:18.085000,73
2022-12-08,11:04:18.990000,73
2022-12-08,11:04:19.997000,73
2022-12-08,11:04:21.004000,72
2022-12-08,11:04:22.011000,72
2022-12-08,11:04:23.017000,72
2022-12-08,11:04:24.022000,72
2022-12-08,11:04:24.927000,72
2022-12-08,11:04:25.934000,72
2022-12-08,11:04:26.940000,73
