0,1,2
2022-12-09,07:34:21.087000,0
2022-12-09,07:34:21.892000,73
2022-12-09,07:34:22.896000,73
2022-12-09,07:34:23.901000,73
2022-12-09,07:34:24.908000,74
2022-12-09,07:34:25.914000,75
2022-12-09,07:34:26.920000,75
2022-12-09,07:34:27.928000,74
2022-12-09,07:34:29.438000,74
2022-12-09,07:34:30.042000,74
2022-12-09,07:34:31.249000,74
2022-12-09,07:34:31.954000,74
2022-12-09,07:34:32.959000,74
2022-12-09,07:34:33.864000,73
2022-12-09,07:34:34.970000,73
2022-12-09,07:34:35.876000,73
2022-12-09,07:34:36.881000,73
2022-12-09,07:34:37.886000,73
2022-12-09,07:34:38.994000,73
2022-12-09,07:34:40.001000,72
2022-12-09,07:34:41.006000,72
2022-12-09,07:34:41.912000,72
2022-12-09,07:34:42.918000,72
2022-12-09,07:34:44.026000,72
2022-12-09,07:34:44.932000,72
2022-12-09,07:34:45.938000,72
2022-12-09,07:34:46.945000,72
2022-12-09,07:34:48.152000,72
2022-12-09,07:34:49.059000,72
2022-12-09,07:34:50.066000,72
2022-12-09,07:34:51.578000,72
2022-12-09,07:34:52.081000,72
2022-12-09,07:34:53.088000,72
2022-12-09,07:34:54.093000,72
2022-12-09,07:34:54.998000,72
2022-12-09,07:34:56.005000,72
2022-12-09,07:34:57.515000,72
2022-12-09,07:34:58.018000,72
2022-12-09,07:34:59.025000,71
2022-12-09,07:35:00.032000,71
2022-12-09,07:35:01.442000,71
2022-12-09,07:35:01.945000,71
2022-12-09,07:35:02.952000,71
2022-12-09,07:35:04.462000,71
2022-12-09,07:35:05.468000,71
2022-12-09,07:35:06.473000,71
2022-12-09,07:35:06.876000,71
2022-12-09,07:35:07.884000,71
2022-12-09,07:35:08.887000,71
2022-12-09,07:35:09.893000,71
2022-12-09,07:35:11.906000,71
2022-12-09,07:35:12.409000,71
2022-12-09,07:35:13.316000,71
2022-12-09,07:35:16.336000,71
2022-12-09,07:35:16.336000,72
2022-12-09,07:35:16.336000,72
2022-12-09,07:35:17.343000,71
2022-12-09,07:35:18.852000,72
2022-12-09,07:35:19.757000,71
2022-12-09,07:35:20.260000,71
2022-12-09,07:35:22.777000,71
2022-12-09,07:35:22.777000,71
2022-12-09,07:35:23.784000,71
2022-12-09,07:35:24.287000,71
2022-12-09,07:35:25.194000,71
2022-12-09,07:35:26.704000,71
2022-12-09,07:35:28.214000,71
2022-12-09,07:35:28.214000,71
2022-12-09,07:35:29.220000,70
2022-12-09,07:35:31.637000,71
2022-12-09,07:35:32.140000,70
2022-12-09,07:35:32.140000,70
2022-12-09,07:35:34.155000,70
2022-12-09,07:35:34.155000,70
2022-12-09,07:35:35.159000,71
2022-12-09,07:35:36.166000,71
2022-12-09,07:35:37.576000,70
2022-12-09,07:35:38.079000,70
2022-12-09,07:35:39.085000,70
2022-12-09,07:35:41.094000,70
2022-12-09,07:35:41.094000,70
2022-12-09,07:35:42.604000,70
2022-12-09,07:35:43.107000,70
2022-12-09,07:35:44.013000,70
2022-12-09,07:35:45.019000,70
2022-12-09,07:35:46.026000,70
2022-12-09,07:35:47.034000,71
2022-12-09,07:35:48.039000,71
2022-12-09,07:35:49.047000,71
2022-12-09,07:35:51.464000,71
2022-12-09,07:35:51.464000,71
2022-12-09,07:35:51.967000,71
2022-12-09,07:35:53.477000,71
2022-12-09,07:35:53.980000,71
2022-12-09,07:35:54.987000,71
2022-12-09,07:35:55.892000,71
2022-12-09,07:35:56.897000,71
2022-12-09,07:35:57.904000,72
2022-12-09,07:35:58.910000,72
2022-12-09,07:35:59.917000,72
2022-12-09,07:36:01.427000,72
2022-12-09,07:36:02.333000,72
2022-12-09,07:36:03.340000,72
2022-12-09,07:36:04.347000,72
2022-12-09,07:36:05.351000,72
2022-12-09,07:36:06.359000,72
2022-12-09,07:36:07.367000,72
2022-12-09,07:36:08.273000,72
2022-12-09,07:36:09.280000,72
2022-12-09,07:36:10.285000,72
2022-12-09,07:36:11.292000,72
2022-12-09,07:36:12.298000,72
2022-12-09,07:36:13.305000,72
2022-12-09,07:36:14.211000,72
2022-12-09,07:36:15.218000,73
2022-12-09,07:36:16.225000,73
2022-12-09,07:36:17.231000,73
2022-12-09,07:36:18.238000,73
2022-12-09,07:36:19.648000,73
2022-12-09,07:36:20.151000,73
2022-12-09,07:36:21.158000,74
2022-12-09,07:36:22.164000,74
2022-12-09,07:36:23.172000,74
2022-12-09,07:36:24.178000,74
2022-12-09,07:36:25.587000,74
2022-12-09,07:36:26.091000,73
2022-12-09,07:36:27.600000,73
2022-12-09,07:36:29.111000,72
2022-12-09,07:36:29.111000,72
2022-12-09,07:36:30.117000,72
2022-12-09,07:36:31.124000,72
2022-12-09,07:36:32.029000,72
2022-12-09,07:36:33.036000,72
2022-12-09,07:36:34.042000,72
2022-12-09,07:36:35.552000,72
2022-12-09,07:36:36.054000,72
2022-12-09,07:36:37.062000,72
2022-12-09,07:36:37.967000,72
2022-12-09,07:36:39.475000,72
2022-12-09,07:36:40.482000,72
2022-12-09,07:36:41.490000,73
2022-12-09,07:36:42.496000,73
2022-12-09,07:36:43,72
2022-12-09,07:36:43.906000,72
2022-12-09,07:36:44.913000,72
2022-12-09,07:36:46.927000,72
2022-12-09,07:36:49.947000,72
2022-12-09,07:36:49.947000,72
2022-12-09,07:36:49.947000,72
2022-12-09,07:36:50.349000,72
2022-12-09,07:36:51.356000,72
2022-12-09,07:36:52.363000,72
2022-12-09,07:36:53.873000,72
2022-12-09,07:36:54.879000,72
2022-12-09,07:36:56.793000,72
2022-12-09,07:36:57.799000,72
2022-12-09,07:37:00.820000,72
2022-12-09,07:37:00.820000,72
2022-12-09,07:37:00.820000,72
2022-12-09,07:37:00.820000,73
2022-12-09,07:37:01.324000,73
2022-12-09,07:37:02.229000,73
2022-12-09,07:37:03.235000,73
2022-12-09,07:37:04.744000,73
2022-12-09,07:37:05.248000,73
2022-12-09,07:37:06.254000,73
2022-12-09,07:37:07.261000,72
2022-12-09,07:37:09.172000,72
2022-12-09,07:37:09.172000,72
2022-12-09,07:37:10.178000,72
2022-12-09,07:37:11.185000,72
2022-12-09,07:37:12.190000,72
2022-12-09,07:37:13.197000,72
2022-12-09,07:37:14.104000,72
2022-12-09,07:37:15.110000,72
2022-12-09,07:37:16.117000,72
2022-12-09,07:37:17.123000,72
2022-12-09,07:37:18.129000,72
2022-12-09,07:37:19.136000,71
2022-12-09,07:37:20.042000,71
2022-12-09,07:37:21.049000,71
2022-12-09,07:37:22.056000,71
