Date,Time,HeartRate
2022-12-20,00:00:00,88
2022-12-20,00:00:00,87
2022-12-20,00:00:01,86
2022-12-20,00:00:03,86
2022-12-20,00:00:03,86
2022-12-20,00:00:04,86
2022-12-20,00:00:06,86
2022-12-20,00:00:06,86
2022-12-20,00:00:07,86
2022-12-20,00:00:08,86
2022-12-20,00:00:10,86
2022-12-20,00:00:10,86
2022-12-20,00:00:12,86
2022-12-20,00:00:13,86
2022-12-20,00:00:14,86
2022-12-20,00:00:15,86
2022-12-20,00:00:15,86
2022-12-20,00:00:16,86
2022-12-20,00:00:18,86
2022-12-20,00:00:18,86
2022-12-20,00:00:19,86
2022-12-20,00:00:21,87
2022-12-20,00:00:22,87
2022-12-20,00:00:23,87
2022-12-20,00:00:23,87
2022-12-20,00:00:24,87
2022-12-20,00:00:25,86
2022-12-20,00:00:27,86
2022-12-20,00:00:28,85
2022-12-20,00:00:28,85
2022-12-20,00:00:30,85
2022-12-20,00:00:30,86
2022-12-20,00:00:31,86
2022-12-20,00:00:33,87
2022-12-20,00:00:33,88
2022-12-20,00:00:35,88
2022-12-20,00:00:36,88
2022-12-20,00:00:37,87
2022-12-20,00:00:38,87
2022-12-20,00:00:38,87
2022-12-20,00:00:40,87
2022-12-20,00:00:42,87
2022-12-20,00:00:42,87
2022-12-20,00:00:43,87
2022-12-20,00:00:44,87
2022-12-20,00:00:45,87
2022-12-20,00:00:46,87
2022-12-20,00:00:47,87
2022-12-20,00:00:48,86
2022-12-20,00:00:49,86
2022-12-20,00:00:49,86
2022-12-20,00:00:51,86
2022-12-20,00:00:52,86
2022-12-20,00:00:52,86
2022-12-20,00:00:53,85
2022-12-20,00:00:55,85
2022-12-20,00:00:55,85
2022-12-20,00:00:57,85
2022-12-20,00:00:58,85
2022-12-20,00:00:58,86
2022-12-20,00:01:00,85
2022-12-20,00:01:01,85
2022-12-20,00:01:01,85
2022-12-20,00:01:03,84
2022-12-20,00:01:04,84
2022-12-20,00:01:04,84
2022-12-20,00:01:06,84
2022-12-20,00:01:07,84
2022-12-20,00:01:07,83
2022-12-20,00:01:09,83
2022-12-20,00:01:09,82
2022-12-20,00:01:10,82
2022-12-20,00:01:12,81
2022-12-20,00:01:13,81
2022-12-20,00:01:15,81
2022-12-20,00:01:15,81
2022-12-20,00:01:15,81
2022-12-20,00:01:16,81
2022-12-20,00:01:18,82
2022-12-20,00:01:18,82
2022-12-20,00:01:19,82
2022-12-20,00:01:21,82
2022-12-20,00:01:22,81
2022-12-20,00:01:22,81
2022-12-20,00:01:24,80
2022-12-20,00:01:25,80
2022-12-20,00:01:27,79
2022-12-20,00:01:31,80
2022-12-20,00:01:31,80
2022-12-20,00:01:31,80
2022-12-20,00:01:31,81
2022-12-20,00:01:31,81
2022-12-20,00:01:33,82
2022-12-20,00:01:34,82
2022-12-20,00:01:34,82
2022-12-20,00:01:38,82
2022-12-20,00:01:38,82
2022-12-20,00:01:38,81
2022-12-20,00:01:38,81
2022-12-20,00:01:38,81
2022-12-20,00:01:40,82
2022-12-20,00:01:41,82
2022-12-20,00:01:42,82
2022-12-20,00:01:43,82
2022-12-20,00:01:43,82
2022-12-20,00:01:46,82
2022-12-20,00:01:48,82
2022-12-20,00:01:48,82
2022-12-20,00:01:49,82
2022-12-20,00:01:49,82
2022-12-20,00:01:49,82
2022-12-20,00:01:51,82
2022-12-20,00:01:52,83
2022-12-20,00:01:52,83
2022-12-20,00:01:53,83
2022-12-20,00:01:55,83
2022-12-20,00:01:57,83
2022-12-20,00:01:57,82
2022-12-20,00:02:00,82
2022-12-20,00:02:00,82
2022-12-20,00:02:00,82
2022-12-20,00:02:01,83
2022-12-20,00:02:01,83
2022-12-20,00:02:03,83
2022-12-20,00:02:04,83
2022-12-20,00:02:04,83
2022-12-20,00:02:06,83
2022-12-20,00:02:06,83
2022-12-20,00:02:07,83
2022-12-20,00:02:08,83
2022-12-20,00:02:10,83
2022-12-20,00:02:10,83
2022-12-20,00:02:12,82
2022-12-20,00:02:15,82
2022-12-20,00:02:15,81
2022-12-20,00:02:15,82
2022-12-20,00:02:17,81
2022-12-20,00:02:17,81
2022-12-20,00:02:19,81
2022-12-20,00:02:19,81
2022-12-20,00:02:21,88
2022-12-20,00:02:25,91
2022-12-20,00:02:25,94
2022-12-20,00:02:25,98
2022-12-20,00:02:25,98
2022-12-20,00:02:25,98
2022-12-20,00:02:26,100
2022-12-20,00:02:28,96
2022-12-20,00:02:29,94
2022-12-20,00:02:29,93
2022-12-20,00:02:32,89
2022-12-20,00:02:32,88
2022-12-20,00:02:33,87
2022-12-20,00:02:33,85
2022-12-20,00:02:34,84
2022-12-20,00:02:35,84
2022-12-20,00:02:36,84
2022-12-20,00:02:37,84
2022-12-20,00:02:37,84
2022-12-20,00:02:38,84
2022-12-20,00:02:40,85
2022-12-20,00:02:42,85
2022-12-20,00:02:42,85
2022-12-20,00:02:43,84
2022-12-20,00:02:43,83
2022-12-20,00:02:45,83
2022-12-20,00:02:46,82
2022-12-20,00:02:47,82
2022-12-20,00:02:48,83
2022-12-20,00:02:50,83
2022-12-20,00:02:51,83
2022-12-20,00:02:51,84
2022-12-20,00:02:52,84
2022-12-20,00:02:54,83
2022-12-20,00:02:54,82
2022-12-20,00:02:54,82
2022-12-20,00:02:55,82
2022-12-20,00:02:57,82
2022-12-20,00:02:57,82
2022-12-20,00:02:59,82
2022-12-20,00:03:00,82
2022-12-20,00:03:00,82
2022-12-20,00:03:03,82
2022-12-20,00:03:03,82
2022-12-20,00:03:04,82
2022-12-20,00:03:05,83
2022-12-20,00:03:06,84
2022-12-20,00:03:07,84
2022-12-20,00:03:09,84
2022-12-20,00:03:09,84
2022-12-20,00:03:10,84
2022-12-20,00:03:11,84
2022-12-20,00:03:12,85
2022-12-20,00:03:13,85
2022-12-20,00:03:14,85
2022-12-20,00:03:15,84
2022-12-20,00:03:16,84
2022-12-20,00:03:17,84
2022-12-20,00:03:18,84
2022-12-20,00:03:19,84
2022-12-20,00:03:20,84
2022-12-20,00:03:22,85
2022-12-20,00:03:22,85
2022-12-20,00:03:23,84
2022-12-20,00:03:24,84
2022-12-20,00:03:25,84
2022-12-20,00:03:27,83
2022-12-20,00:03:28,83
2022-12-20,00:03:28,82
2022-12-20,00:03:28,82
2022-12-20,00:03:30,82
2022-12-20,00:03:31,83
2022-12-20,00:03:32,83
2022-12-20,00:03:33,84
2022-12-20,00:03:34,84
2022-12-20,00:03:34,84
2022-12-20,00:03:37,84
2022-12-20,00:03:37,84
2022-12-20,00:03:39,84
2022-12-20,00:03:39,84
2022-12-20,00:03:40,84
2022-12-20,00:03:40,84
2022-12-20,00:03:42,84
2022-12-20,00:03:43,83
2022-12-20,00:03:43,83
2022-12-20,00:03:45,83
2022-12-20,00:03:46,84
2022-12-20,00:03:46,84
2022-12-20,00:03:48,84
2022-12-20,00:03:48,84
2022-12-20,00:03:49,85
2022-12-20,00:03:51,85
2022-12-20,00:03:52,85
2022-12-20,00:03:53,85
2022-12-20,00:03:55,84
2022-12-20,00:03:56,84
2022-12-20,00:03:56,84
2022-12-20,00:03:57,84
2022-12-20,00:03:58,84
